subject,relation,object,new_topic,old_index
solutions,can,nowadays of great interest in classical field theory can mostly found,3,79382
mathcal O1 gauge transformations,are,while conjugate,3,163352
We,construct,invariants,3,48861
mean,may,may obtained from previous discretesource confusionnoise model in limit of high density of weak sources,9,35896
field phase,is found at,fields of 35T,6,59043
We,calculate,modes of massive scalar perturbation on massive black hole CSBTZ black hole,1,128466
action,consist in,correction of data,3,21038
three paradigms,are motivated by,same goal of finding two models,2,126962
heterogeneity,is,from intrinsic heterogeneity in their properties fundamental to diversity of activities,2,73409
problem,is discussed,variations,1,111789
quasinormal modes QNMs,study,cavityQED system,6,161555
we,propose,novel attention module with 3D network,2,56634
loss,is proposed for,less pixels In work,2,92467
model,predicts,new intermediate range force,8,119633
little attention features,generated for,masked data resulting crossmodal alignment ability,2,5680
we,analyze evolution within,four sets,9,63509
F1score,is in,test set,2,131060
optimization dynamics,is interpreted with,Quantum Information Geometry corresponding to part also known as FubiniStudy tensor,3,138896
It,allows for,understanding of complex scanning tunneling spectra on metallic substrate in elastic contributions,6,8532
Lambda t,have,as have investigated widely in literature Models,1,23819
We,specify,Our results,2,12665
process,exhibits,treelevel interference,8,43126
densities,show,peaks for energies different from Dirac energy,6,140169
results,provide,comprehensive guidance for further investigations,11,33960
segregation,is observed galaxies in,such groups as pairs,9,91027
singlet functions,have,In paper have obtained by DokshitzerGribovLipatovAlterelliParisi DGLAP evolution equations,5,66416
scattering networks,are computationally scalable equivariance,while invariant,2,157240
Xrayradio observations,collected with,RXTE,9,46683
nucleonnucleon problem,is,studied,5,114117
We,investigate,coupled walking technicolor model MWT,8,128188
heat engines,can,However can operated by nonequilibrium reservoirs,10,52763
devices,are,well suited for highspeed dynamics in nanoscale magnets in presence of moderate bias magnetic fields,6,42212
finite momentum meson spectral function MSF,is,evaluated,5,142810
present study,evidences,role of ferrite grain size distributions on occurrence,11,156121
variable exponential decay,is in,phaseseparation,6,121668
correlators,are,sensitive to presence of instantons even at high temperature,3,53678
Order,is,First,6,37959
potential oscillons,are,eg nonperturbative,3,92247
We,discuss,use of observations,9,112031
We,study clustering for,overall mass distribution,9,116225
Large Hadron Collider,will about,At Luminosity will 043times104 events of Xicc 632times104 events,5,25054
I,use,free motion,1,36282
We,analyzed,information arriving at loss,2,37860
analogy,is,with similar separation in backgrounds of MyersPerry holes found in subsectors,1,44907
origin,is opening of,antiferromagnetic gap in presence,6,85104
we,provide,insight into challenges,2,160175
statefinder location,is in,agreement with observation,1,27094
Standard Model prediction,is well consistent with,data,8,44439
composite states,arise as,matter candidates,8,69474
ability,consider,applied,2,10255
We,discuss,various properties of Goedel hole including physical bound,1,14700
intensity,is nearly isotropic because,influence of fields,9,5020
Analytic continuation AC,is crucial process for,numerical studies of properties,2,85711
enhancement,is,related to presence of macroscopic number of soft modes in magnets confirmed with Monte Carlo simulations,6,151380
pulse CP sequences,compensate up to,eight orders of errors in pulse amplitude,10,110700
existence,is analyzed,exact solution for oscillator wave function,6,100685
et al J Phys Soc Jpn 71 2094 2002 Voltage fluctuations,is in,measurement circuit,6,152553
we,propose,novel formulation aiming,2,64100
discussed,is well motivated due,its potential role,8,111879
We,demonstrate,high density 64e12 cm2 twodimensional electron gas,11,36844
we,develop learning algorithm In,paper,2,101417
sections,have,have added on solutions for exterior spacetime stars,1,63740
evolution,is,controlled by reservoir of small grains at large radii,9,102221
results,are,of our studies of various scattering properties of solitons on obstructions in 11 dimensions based,3,3085
spin state,be,split,6,33501
investigation produced,will of,will great interest,5,104166
we,measure,weak gravitational lensing masses,9,141507
eigenvalues,are,by same similarity transformation as in leading order expressed in terms of universal function with its argument,3,7875
most,belong into,further direction of wave,10,101935
Higgsino mass parameter mu,is,only positive,8,121569
gate,is implemented,Because qutrit remains in ground state during gate operation decoherence,10,95286
velocities,be readily correlated with,measure of mass,1,61063
relativistic corrections,be,ignored,5,51909
quantum machine,requires,passage through atomic ensembles followed by measurement,10,77097
we,demonstrate,novel effects in interactions including amplitude for photon production of particles by particles vanishes,5,113936
NGC 6764,is,composite galaxy,9,151845
memory effect,opened up avenues together,its interconnection to asymptotic symmetries AS recent developments in direction,1,98815
polarization function,is obtained,relaxation considered,6,24573
It,is,based on congruence on Lorentzian manifold associated to timelike vector field As application examples of Petrov type D spacetimes,3,99998
RyuTakayanagi RT formula,is,crucial concept in theory of gaugegravity duality of geometry Recent reinterpretation of formula in terms of set,3,124522
We,study,evolution of abelianHiggs string networks,1,58608
dark matter mass,is above,When band gap of semiconductor around eV absorption proceeds by excitation of electron into conduction band Below enable in 001 eV to eV mass range emitted from sun,8,49552
developed system,is,with measurement unit joint indoor 3D mapper,0,120550
mass function,is,accurate,9,25558
Arp220,is nearby,stages,9,96723
Geometric Deformation decoupling method,obtain,static interior solutions,1,71296
couplings,gives,perfect routing,10,89185
great success,Selfsupervised Learning SSL including,mainstream learning,2,16449
our results,understand,behaviour between partitions of quantum systems,3,45614
remarkable advantages,are,their inherent scalability adaptation to sized robots,2,7144
We,obtain entropy in,order expansion of quantization,3,63147
We,propose X TCX gate Z TCZ gate as,twoqutrit gate,10,149536
we,improve,trained exclusively on GANgenerated data For correspondence,2,51941
stability,is,However in direction serious problem explained,1,107190
matter mass,is above,band gap around eV absorption proceeds by excitation Below enable in eV to eV mass range emitted from sun,8,49615
identification,is,sensitive,0,125686
theory,is formulated procedures,It suggests,10,146285
novel adaptive latent transformation,are,conditioned,2,140276
obtained results,describe,dynamics of effective spin for trajectories of driving electric field,6,106661
spectra,exhibit,transitions of system,6,84568
jet,has,formulation,5,31334
method,is,new,9,163784
Oxidation,decreases,energy costs,11,85535
ICM,is in,hydro static equilibrium within gravitational potential as result of pressure support,9,46670
we,demonstrate,singleelectron transistors SETs,6,152068
quadratic potential,is with,quadratic coupling,1,111486
CNN architectures,achieve,852 mean class accuracy,2,120611
learned representations handcrafted optical flow features,are,Despite recent success of endtoend widely used in video analysis tasks,2,107082
